marital_status,course,attend_time,previous_qualification,nationality,mother_qualification,father_qualification,mother_occupation,father_occupation,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,first_semester_credited,first_semester_enrolled,first_semester_grade,second_semester_credited,second_semester_enrolled,second_semester_grade,target,unemployment_rate,inflation_rate
3,5,0,4,2,0,4,2,2,0,0,1,0,0,35,False,19,21,12.61904762,13,19,12.78947368,0,12.4,0.5
3,8,0,4,2,5,4,2,2,0,1,0,0,0,27,False,0,6,12.0,0,6,0.0,1,11.1,0.6
3,4,0,4,2,4,1,1,1,0,0,0,0,0,19,False,0,6,12.16666667,0,6,0.0,1,15.5,2.8
3,13,0,4,2,4,4,2,1,0,0,1,0,0,20,False,0,6,0.0,0,6,0.0,1,11.1,0.6
3,9,0,4,2,0,0,1,2,0,1,0,0,0,20,False,0,5,10.0,0,5,10.57142857,1,10.8,1.4
3,10,0,4,2,4,4,4,2,0,0,1,0,1,18,False,0,7,13.05,0,7,13.05,0,7.6,2.6
3,14,0,4,2,4,4,4,4,0,0,1,0,0,24,False,0,6,11.0,0,6,0.0,1,8.9,1.4
3,4,0,4,2,4,0,2,2,0,0,1,0,0,20,False,0,6,11.5,0,6,12.0,0,16.2,0.3
3,13,0,4,2,5,1,4,4,0,0,1,0,1,21,False,0,6,12.0,0,6,12.5,0,13.9,-0.3
3,9,0,4,2,4,0,2,2,0,0,1,0,0,24,False,0,5,0.0,0,5,0.0,1,7.6,2.6
3,5,0,4,2,4,4,2,2,0,0,1,0,0,21,False,0,6,0.0,0,6,0.0,1,12.4,0.5
3,10,0,4,2,4,1,4,4,0,0,1,0,0,18,False,0,8,12.24285714,0,8,12.24285714,0,12.7,3.7
3,9,1,0,2,5,4,2,2,0,0,1,0,0,27,False,0,5,0.0,0,5,0.0,1,8.9,1.4
3,10,0,4,2,4,1,1,1,0,0,1,0,0,18,False,0,8,12.93375,0,8,12.93375,0,9.4,-0.8
3,6,0,0,2,0,0,3,3,0,0,1,0,0,35,False,0,5,0.0,0,5,0.0,1,13.9,-0.3
3,5,0,4,2,5,4,2,4,0,0,1,0,0,18,False,0,7,12.57142857,0,7,14.42857143,0,11.1,0.6
3,14,0,4,2,4,4,2,2,0,0,1,0,0,19,False,0,5,13.75,0,5,14.33333333,0,10.8,1.4
3,12,0,4,2,5,4,2,3,0,0,1,0,0,20,False,0,6,11.16666667,0,6,11.33333333,0,7.6,2.6
3,10,0,4,2,5,4,2,2,0,0,1,0,0,18,False,0,8,12.32428571,0,8,12.32428571,0,10.8,1.4
3,12,0,3,2,4,1,1,2,0,1,1,0,0,21,False,3,6,12.16666667,2,6,11.71428571,0,13.9,-0.3
3,12,0,4,2,5,1,4,4,0,0,1,0,1,18,False,0,6,11.14285714,0,6,11.25,0,16.2,0.3
3,12,0,4,2,0,3,3,3,0,0,1,0,0,18,False,0,6,11.0,0,6,10.75,0,7.6,2.6
3,10,0,4,2,5,1,4,4,0,0,1,0,0,18,False,0,8,12.91428571,0,8,12.91428571,0,12.7,3.7
3,8,0,4,2,0,4,2,2,0,0,1,0,1,18,False,0,6,13.83333333,0,6,14.16666667,0,16.2,0.3
3,14,0,4,2,5,4,4,2,0,0,1,0,0,19,False,0,6,13.85714286,0,6,13.4,0,13.9,-0.3
3,13,0,4,2,0,4,3,2,0,0,1,0,1,36,False,0,6,13.71428571,0,6,12.8,1,16.2,0.3
3,10,0,4,2,4,4,2,2,0,0,1,0,1,18,False,0,8,12.64285714,0,8,12.64285714,0,12.7,3.7
3,10,0,4,2,4,1,4,4,0,0,1,0,1,18,False,0,7,12.91666667,0,7,12.91666667,0,7.6,2.6
3,7,0,4,2,4,0,4,3,0,0,1,0,1,20,False,0,6,15.625,0,6,15.85714286,0,13.9,-0.3
3,9,1,4,2,4,1,4,4,0,0,1,0,1,26,False,0,5,0.0,0,5,0.0,1,16.2,0.3
3,8,0,4,2,4,4,2,1,0,0,1,0,0,21,False,0,6,11.71428571,0,6,12.0,0,7.6,2.6
3,9,0,4,2,5,0,1,1,0,0,1,0,1,19,False,0,5,11.6,0,5,11.6,0,12.4,0.5
3,12,1,4,2,5,1,4,2,0,0,1,0,0,24,False,0,6,10.0,0,6,0.0,1,9.4,-0.8
3,12,1,4,2,4,4,1,2,0,0,1,0,1,27,False,0,6,10.0,0,6,0.0,1,8.9,1.4
3,14,0,4,2,5,1,2,2,0,0,1,0,0,21,False,0,5,0.0,0,5,13.5,1,7.6,2.6
3,9,0,4,2,4,1,2,2,0,0,1,0,1,18,False,0,5,13.0,0,5,12.33333333,0,9.4,-0.8
2,5,0,4,2,4,1,1,2,1,0,1,0,1,19,False,0,6,13.33333333,0,6,14.5,0,10.8,1.4
3,13,0,4,2,4,4,2,2,0,0,1,0,0,18,False,0,6,11.25,0,6,12.5,1,9.4,-0.8
3,10,0,4,2,5,4,1,4,0,0,1,0,1,19,False,0,7,13.85,0,8,12.19285714,0,11.1,0.6
3,10,0,4,2,4,1,2,1,0,0,1,0,1,19,False,0,7,13.74166667,0,8,14.9125,0,16.2,0.3
2,9,1,0,2,2,0,2,2,0,0,1,0,0,33,False,2,6,15.33333333,0,5,15.8,0,11.1,0.6
2,9,0,0,2,4,0,2,2,0,0,1,0,0,45,False,0,5,11.0,0,5,13.8,0,12.4,0.5
3,12,0,4,2,4,4,4,4,0,0,1,0,1,20,False,0,6,12.0,0,6,12.85714286,0,11.1,0.6
3,0,0,4,2,0,3,3,3,0,0,1,0,0,28,False,0,5,0.0,0,5,0.0,1,7.6,2.6
3,10,0,4,2,4,4,1,4,0,0,1,0,1,19,False,0,8,11.57142857,0,8,11.57142857,0,12.7,3.7
3,13,0,4,2,4,1,2,1,0,0,1,0,0,18,False,0,6,12.85714286,0,6,12.66666667,0,12.7,3.7
3,13,0,0,2,5,4,2,1,0,0,1,0,0,38,False,0,6,0.0,0,6,0.0,1,15.5,2.8
3,0,0,4,2,4,0,2,2,0,0,1,0,0,19,False,0,5,13.0,0,5,13.2,0,9.4,-0.8
3,13,0,4,2,4,1,4,4,0,0,1,0,1,21,False,0,6,11.0,0,6,12.0,0,15.5,2.8
3,9,0,4,2,4,4,4,2,0,0,1,0,0,21,False,0,5,12.0,0,5,15.0,1,16.2,0.3
3,12,0,4,2,4,1,4,4,0,0,1,0,1,22,False,0,6,12.6,0,6,13.0,0,10.8,1.4
3,5,0,4,2,5,4,1,2,0,0,1,0,1,18,False,0,6,13.4,0,6,13.16666667,0,9.4,-0.8
3,12,0,4,2,4,1,2,4,1,0,1,0,1,18,False,0,6,11.33333333,0,6,11.57142857,0,15.5,2.8
3,7,0,4,2,5,4,4,4,0,0,0,0,0,25,False,0,5,13.5,0,5,14.25,1,9.4,-0.8
3,14,0,4,2,5,4,4,2,0,1,0,0,0,24,False,2,6,11.75,1,6,10.33333333,1,16.2,0.3
3,9,0,4,2,4,4,1,1,0,0,1,0,1,20,False,0,5,11.6,0,5,13.6,0,12.4,0.5
3,9,0,4,2,4,4,4,2,0,0,0,0,0,25,False,0,5,0.0,0,5,0.0,1,10.8,1.4
3,9,0,4,2,4,4,4,2,0,0,1,0,1,20,False,5,10,12.9,4,10,12.36363636,0,8.9,1.4
3,10,0,0,2,5,1,1,2,0,0,1,0,0,23,False,0,8,13.22,0,8,13.22,0,9.4,-0.8
3,10,0,4,2,5,1,2,1,0,0,1,0,1,19,False,0,8,13.15142857,0,8,13.15142857,0,10.8,1.4
3,1,0,3,2,4,1,4,2,0,1,0,0,0,29,False,0,6,12.75,0,6,11.33333333,1,13.9,-0.3
3,13,0,4,2,5,1,2,2,0,0,1,0,0,21,False,0,6,11.33333333,0,6,12.25,0,11.1,0.6
3,0,0,4,2,5,4,4,4,0,0,1,0,1,18,False,0,6,13.25,0,6,14.14285714,0,11.1,0.6
3,8,0,4,2,4,1,2,2,0,0,1,0,1,18,False,0,6,15.0,0,6,12.83333333,1,8.9,1.4
3,14,0,4,2,4,4,0,1,0,0,1,0,0,19,False,0,5,14.4,0,5,13.0,0,7.6,2.6
3,9,0,4,2,4,4,2,2,0,0,1,0,0,18,False,0,5,12.4,0,5,10.8,0,8.9,1.4
2,11,0,4,2,4,1,2,2,0,1,0,0,1,37,False,0,7,16.0,0,7,0.0,1,8.9,1.4
3,9,1,0,2,4,1,1,1,0,0,1,0,0,29,False,0,5,13.57142857,0,5,12.33333333,0,16.2,0.3
3,12,0,4,2,4,4,4,4,0,0,1,0,1,19,False,0,6,11.66666667,0,6,12.66666667,0,12.4,0.5
3,12,0,4,2,4,4,2,2,0,1,0,0,0,22,False,6,10,11.83333333,2,7,13.0,1,16.2,0.3
3,13,0,4,2,4,1,4,2,0,0,1,0,1,20,False,0,6,11.16666667,0,6,10.6,0,15.5,2.8
3,12,1,4,2,4,1,0,0,0,0,1,0,0,34,False,0,6,0.0,0,6,0.0,1,12.7,3.7
3,6,0,4,2,4,1,4,4,0,1,0,0,0,30,False,8,12,11.75,6,12,12.16666667,1,7.6,2.6
3,12,0,4,2,4,4,2,2,0,0,1,0,0,18,False,0,6,14.0,0,6,14.0,0,10.8,1.4
3,12,0,4,2,4,4,4,1,0,0,1,0,0,18,False,0,6,12.83333333,0,6,12.0,0,12.4,0.5
3,8,0,4,2,0,4,2,2,0,0,1,0,0,18,False,0,6,12.25,0,6,11.66666667,0,9.4,-0.8
3,10,0,4,2,0,4,3,2,0,0,1,0,0,18,False,0,8,14.82857143,0,8,14.82857143,0,12.7,3.7
3,8,0,4,2,4,1,4,4,0,0,1,0,1,19,False,0,6,11.4,0,6,12.8,0,12.7,3.7
3,4,0,4,2,4,1,4,4,0,0,1,0,1,19,False,0,6,13.0,0,6,12.5,0,10.8,1.4
3,10,0,4,2,4,4,4,4,0,0,1,0,1,18,False,0,8,13.67142857,0,8,13.67142857,0,12.7,3.7
3,1,0,3,2,4,1,2,4,0,0,1,0,1,21,False,0,6,12.66666667,0,6,12.8,0,13.9,-0.3
3,9,0,4,2,4,4,4,4,0,0,0,0,0,20,False,0,5,10.0,0,5,13.0,1,7.6,2.6
3,9,0,4,2,4,4,2,4,0,0,1,0,0,20,False,0,5,13.5,0,5,12.33333333,0,13.9,-0.3
3,10,0,4,2,0,4,3,1,0,0,1,0,0,19,False,2,7,12.67,1,8,13.55,0,11.1,0.6
